Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SNPQ;PE0010;PESQUEIRA;PESQUEIRA;PE;8° 22' 29'' S;36° 38' 16'' W;630 m;VFR Diurno;-;-; 10/28;1000 m;20 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.478;-;-;-;PA2023-11.478;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-2470;PA2019-2470;;-
SNPY;MG0013;SÃO SEBASTIÃO DO PARAÍSO;SÃO SEBASTIÃO DO PARAÍSO;MG;20° 56' 54'' S;46° 58' 59'' W;950 m;VFR Diurno/Noturno;-;-; 05/23;1600 m;30 m;PCR 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3901;-;-;-;PA2019-3901;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNQD;PB0006;SOUSA;SOUSA;PB;6° 47' 8'' S;38° 14' 2'' W;227 m;VFR Diurno/Noturno;-;-; 15/33;1203 m;30 m;PCN 13/F/A/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1693;-;-;-;PA2018-1693;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNQG;PI0003;CANGAPARA;FLORIANO;PI;6° 50' 46'' S;43° 4' 41'' W;210 m;VFR Diurno/Noturno;-;-; 16/34;1800 m;30 m;PCN 6/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7680;-;-;-;PA2022-7680;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo;PA2026-19.005;PA2026-19.005;;-
SNPU;MG0073;COMANDANTE VIRGILIO BORIM;PARAGUAÇU;MG;21° 33' 41'' S;45° 45' 17'' W;898 m;VFR Diurno;-;-; 07/25;900 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4323;-;-;-;PA2021-4323;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2021-4513;PA2021-4513;;-
SNQV;MG0044;CURVELO;CURVELO;MG;18° 44' 58'' S;44° 27' 29'' W;672 m;VFR Diurno;-;-; 09/27;1200 m;23 m;5000 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3127;-;-;-;PA2018-3127;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNPX;MG0028;PIRAPORA;PIRAPORA;MG;17° 18' 50'' S;44° 51' 31'' W;551 m;VFR Diurno;-;-; 10/28;1480 m;30 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1087;-;-;-;PA2020-1087;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 12.881/2023 torna pública a revogação da medida cautelar de proibição de operações de pouso no aeródromo em referência, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo, aplicada por meio da Decisão sobre Medida Cautelar nº 25/2022/GFIC/SIA, de 18 de novembro de 2022, ao aeródromo público Pirapora, CIAD MG0028, código OACI SNPX, localizado em Pirapora/MG.
SNRD;BA0048;PRADO;PRADO;BA;17° 17' 49'' S;39° 16' 19'' W;27 m;VFR Diurno;-;-; 11/29;1166 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1208;-;-;-;PA2018-1208;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SNRM;BA0022;REMANSO;REMANSO;BA;9° 34' 48'' S;42° 6' 57'' W;406 m;VFR Diurno;-;-; 11/29;1360 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0401;-;-;-;PA2016-0401;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNRP;MG0066;RIO PARANAÍBA;RIO PARANAÍBA;MG;19° 12' 45'' S;46° 14' 26'' W;1145 m;VFR Diurno;-;-; 17/35;550 m;22 m;4000 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0982;-;-;-;PA2020-0982;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNRU;PE0004;CARUARU;CARUARU;PE;8° 17' 4'' S;36° 0' 39'' W;576 m;VFR Diurno;-;-; 13/31;1800 m;30 m;PCN 30/F/A/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1090;-;-;-;PA2020-1090;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNQU;BA0032;MUCUGÊ;MUCUGÊ;BA;13° 1' 54'' S;41° 26' 40'' W;1055 m;VFR Diurno;-;-; 07/25;1400 m;19 m;PCN 6/F/C/Z/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9471;-;-;-;PA2022-9471;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 12.796/2023 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 30/2019/GFIC/SIA, de 14 de outubro de 2019.
SNRZ;MG0049;OLIVEIRA;OLIVEIRA;MG;20° 42' 52'' S;44° 51' 55'' W;1015 m;VFR Diurno/Noturno;-;-; 03/21;1180 m;18 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2420;-;-;-;PA2020-2420;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNSE;BA0056;SENTO SÉ;SENTO SÉ;BA;9° 45' 27'' S;41° 51' 18'' W;398 m;VFR Diurno;-;-; 15/33;1195 m;19 m;PCN 10/F/B/Y/U;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1707;-;-;-;PA2014-1707;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNQX;CE0010;QUIXADÁ;QUIXADÁ;CE;4° 58' 44'' S;38° 59' 16'' W;225 m;VFR Diurno;-;-; 14/32;1200 m;30 m;PCN 17/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1076;-;-;-;PA2020-1076;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2020-0749;PA2020-0749;;-
SNRX;MA0009;RIACHÃO;RIACHÃO;MA;7° 20' 47'' S;46° 37' 39'' W;400 m;VFR Diurno;-;-; 12/30;860 m;22 m;PCN 6/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9622;-;-;-;PA2022-9622;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-1040;PA2020-1040;X;-
SNSM;PA0250;SALINÓPOLIS;SALINÓPOLIS;PA;0° 41' 47'' S;47° 20' 12'' W;36 m;VFR Diurno/Noturno;-;-; 09/27;1600 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6645;-;-;-;PA2021-6645;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;Proibidas as operações de pouso de aeronaves a jato na RWY 27;PA2021-6645;PA2021-6645;X;-
SNSS;MG0029;SALINAS;SALINAS;MG;16° 12' 30'' S;42° 19' 19'' W;763 m;VFR Diurno;-;-; 18/36;1480 m;30 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2065;-;-;-;PA2019-2065;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNTF;BA0016;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;17° 31' 28'' S;39° 40' 6'' W;105 m;VFR Diurno/Noturno;-;-; 11/29;1460 m;30 m;PCN 31/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9625;-;-;-;PA2022-9625;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SNTI;PA0016;ÓBIDOS;ÓBIDOS;PA;1° 52' 5'' S;55° 30' 52'' W;100 m;VFR Diurno;-;-; 10/28;1520 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2710;-;-;-;PA2017-2710;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SNSG;PE0008;SALGUEIRO;SALGUEIRO;PE;8° 2' 48'' S;39° 8' 2'' W;469 m;VFR Diurno;-;-; 17/35;1300 m;30 m;PCN 6/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1374;-;-;-;PA2018-1374;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-0999;PA2020-0999;;-
SNTQ;BA0053;BURITIRAMA;BURITIRAMA;BA;10° 43' 18'' S;43° 39' 13'' W;499 m;VFR Diurno;-;-; 11/29;1116 m;26 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2911;-;-;-;PA2015-2911;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNTS;PB0005;BRIGADEIRO FIRMINO AYRES;PATOS;PB;7° 2' 16'' S;37° 15' 27'' W;265 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4760;-;-;-;PA2021-4760;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNUB;MG0058;UBÁ;UBÁ;MG;21° 7' 12'' S;42° 53' 1'' W;317 m;VFR Diurno;-;-; 16/34;1402 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8725;-;-;-;PA2022-8725;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNUH;MG0054;PIUMHI;PIUMHI;MG;20° 26' 20'' S;45° 59' 32'' W;751 m;VFR Diurno;-;-; 07/25;1148 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1981;-;-;-;PA2020-1981;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNUI;MG0045;ARAÇUAÍ;ARAÇUAÍ;MG;16° 51' 7'' S;42° 2' 46'' W;328 m;VFR Diurno;-;-; 08/26;1200 m;30 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3956;-;-;-;PA2021-3956;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNUN;MG0055;UNAÍ;UNAÍ;MG;16° 21' 14'' S;46° 55' 37'' W;600 m;VFR Diurno;-;-; 17/35;1185 m;30 m;PCN 10/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9737;-;-;-;PA2022-9737;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SNSI;MG0076;SANTA MARIA DO SUAÇUÍ;SANTA MARIA DO SUAÇUÍ;MG;18° 11' 55'' S;42° 27' 58'' W;480 m;VFR Diurno;-;-; 04/22;740 m;18 m;2500 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6997;-;-;-;PA2022-6997;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-2489;PA2020-2489;;-
SNVC;MG0074;VIÇOSA;VIÇOSA;MG;20° 44' 42'' S;42° 50' 29'' W;659 m;VFR Diurno;-;-; 17/35;1105 m;30 m;5000 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.661;-;-;-;PA2023-10.661;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNVD;BA0050;SANTA MARIA DA VITÓRIA;SANTA MARIA DA VITÓRIA;BA;13° 24' 17'' S;44° 13' 23'' W;465 m;VFR Diurno;-;-; 10/28;1300 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.292;-;-;-;PA2023-11.292;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNVI;MG0035;MELLO VIANA;TRÊS CORAÇÕES;MG;21° 47' 21'' S;45° 16' 5'' W;976 m;VFR Diurno/Noturno;-;-; 04/22;1300 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2431;-;-;-;PA2019-2431;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNVS;PA0015;BREVES;BREVES;PA;1° 38' 11'' S;50° 26' 36'' W;30 m;VFR Diurno;-;-; 07/25;1600 m;30 m;PCN 27/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0724;-;-;-;PA2016-0724;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves com PMD igual ou superior a 5700kg, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2025-17.438;PA2025-17.438;X;-
SNWC;CE0011;CAMOCIM;CAMOCIM;CE;2° 53' 45'' S;40° 51' 32'' W;14 m;VFR Diurno/Noturno;-;-; 14/32;1200 m;30 m;PCN 14/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1190;-;-;-;PA2020-1190;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNWS;CE0005;CRATEÚS;CRATEÚS;CE;5° 12' 40'' S;40° 42' 15'' W;318 m;VFR Diurno/Noturno;-;-; 08/26;1500 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3477;-;-;-;PA2020-3477;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNXB;MG0025;CAXAMBU;CAXAMBU;MG;21° 55' 3'' S;44° 58' 10'' W;874 m;VFR Diurno/Noturno;-;-; 09/27;1500 m;30 m;PCN 8/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1077;-;-;-;PA2020-1077;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNTO;MG0048;JUSCELINO KUBITSCHECK;TEÓFILO OTONI;MG;17° 53' 27'' S;41° 30' 54'' W;480 m;VFR Diurno/Noturno;-;-; 11/29;1190 m;23 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1559;-;-;-;PA2020-1559;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SNYA;PA0024;AERÓDROMO PÚBLICO DE ALMEIRIM;ALMEIRIM;PA;1° 28' 45'' S;52° 34' 41'' W;178 m;VFR Diurno;-;-; 06/24;1200 m;30 m;PCN 7/F/B/Y/U;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0560;-;-;-;PA2015-0560;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SNYB;MG0047;TITO TEIXEIRA;ITUIUTABA;MG;19° 0' 5'' S;49° 29' 14'' W;612 m;VFR Diurno;-;-; 03/21;1782 m;30 m;PCN 8/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.895;-;-;-;PA2023-10.895;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNVB;BA0008;VALENÇA;VALENÇA;BA;13° 17' 47'' S;38° 59' 33'' W;5 m;VFR Diurno/Noturno;-;-; 04/22;1800 m;30 m;PCN 55/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3090;-;-;-;PA2015-3090;-;-;-;AP-0;Classe I;3ª;-;-;0;-;-;-;-;Proibição de operação da aviação comercial regular e na modalidade de operação charter no aeródromo em referência.;PA2021-5832;PA2021-5832;;-
SNYU;MG0014;ITURAMA;ITURAMA;MG;19° 43' 2'' S;50° 13' 13'' W;475 m;VFR Diurno/Noturno;-;-; 18/36;1550 m;30 m;PCN 10/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2411;-;-;-;PA2020-2411;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNZA;MG0038;POUSO ALEGRE;POUSO ALEGRE;MG;22° 17' 20'' S;45° 55' 10'' W;885 m;VFR Diurno/Noturno;-;-; 02/20;1280 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3470;-;-;-;PA2020-3470;-;-;-;AP-0;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SNZR;MG0026;PEDRO RABELO DE SOUZA;PARACATU;MG;17° 14' 34'' S;46° 52' 59'' W;730 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 11/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.540;-;-;-;PA2023-11.540;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSAB;PR0024;MOISÉS LUPION;IBAITI;PR;23° 45' 46'' S;50° 15' 47'' W;636 m;VFR Diurno;-;-; 05/23;1200 m;18 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.734;-;-;-;PA2023-11.734;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2021-6638;PA2021-6638;;-
SSAE;RS0040;ARROIO GRANDE;ARROIO GRANDE;RS;32° 13' 45'' S;53° 3' 21'' W;49 m;VFR Diurno;-;-; 06/24;1000 m;18 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2952;-;-;-;PA2018-2952;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSAK;RS0048;CARLOS RUHL;CRUZ ALTA;RS;28° 39' 31'' S;53° 36' 41'' W;481 m;VFR Diurno;-;-; 08/26;800 m;42 m;2500 kg / 0,5 MPa;Grama; 17/35;650 m;46 m;2500 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;PA2020-2975;-;-;-;PA2020-2975;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSAN;PR0032;JOÃO GALDINO;ANDIRÁ;PR;23° 1' 38'' S;50° 13' 37'' W;490 m;VFR Diurno;-;-; 09/27;1000 m;23 m;5600 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.902;-;-;-;PA2023-11.902;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSAP;PR0014;CAPITÃO JOÃO BUSSE;APUCARANA;PR;23° 36' 44'' S;51° 23' 6'' W;800 m;VFR Diurno/Noturno;-;-; 10/28;1400 m;30 m;PCN 11/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1193;-;-;-;PA2020-1193;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSAQ;RS0036;AEROCLUBE DE PASSO FUNDO;PASSO FUNDO;RS;28° 15' 2'' S;52° 31' 0'' W;600 m;VFR Diurno;-;-; 15/33;1080 m;35 m;5700 kg / 0,5 MPa;Grama; 17/35;940 m;18 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;PA2018-0468;-;-;-;PA2018-0468;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSBL;SC0019;BLUMENAU;BLUMENAU;SC;26° 49' 54'' S;49° 5' 37'' W;18 m;VFR Diurno;-;-; 01/19;1080 m;30 m;PCN 17/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.753;-;-;-;PA2023-11.753;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSBN;RS0002;BELÉM NOVO;PORTO ALEGRE;RS;30° 11' 21'' S;51° 10' 57'' W;5 m;VFR Diurno;-;-; 09/27;1103 m;23 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2615;-;-;-;PA2019-2615;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNXQ;BA0018;XIQUE-XIQUE;XIQUE-XIQUE;BA;10° 50' 3'' S;42° 41' 0'' W;427 m;VFR Diurno;-;-; 13/31;1420 m;20 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9620;-;-;-;PA2022-9620;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria SIA n° 17.231/2025 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 45/2021/GFIC/SIA, de 28 de outubro de 2021, ao aeródromo de uso público Xique-xique, CIAD BA0018, código OACI SNXQ, localizado em Xique-xique (BA).
SSCD;MS0007;CHAPADÃO DO SUL;CHAPADÃO DO SUL;MS;18° 50' 21'' S;52° 29' 17'' W;818 m;VFR Diurno/Noturno;-;-; 05/23;2000 m;30 m;PCN 30/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2968;-;-;-;PA2018-2968;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSCI;MS0012;COXIM;COXIM;MS;18° 28' 53'' S;54° 42' 57'' W;294 m;VFR Diurno;-;-; 02/20;1300 m;23 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8296;-;-;-;PA2022-8296;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSCK;SC0010;OLAVO CECCO RIGON;CONCÓRDIA;SC;27° 10' 50'' S;52° 3' 4'' W;751 m;VFR Diurno/Noturno;-;-; 15/33;1480 m;18 m;PCN 12/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3070;-;-;-;PA2013-3070;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SNYE;MA0004;PINHEIRO;PINHEIRO;MA;2° 28' 39'' S;45° 6' 18'' W;20 m;VFR Diurno;-;-; 09/27;1740 m;30 m;PCN 29/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0706;-;-;-;PA2020-0706;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2022-6928;PA2022-6928;X;-
SSCN;RS0019;CANELA;CANELA;RS;29° 22' 14'' S;50° 49' 56'' W;827 m;VFR Diurno;-;-; 06/24;1260 m;18 m;PCN 300/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2752;-;-;-;PA2019-2752;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;Portaria SIA n° 15.498/2024 torna pública a revogação da medida administrativa cautelar ao aeródromo público de Canela, Código Identificador de Aeródromo - CIAD RS0019, indicador de localidade OACI SSCN, localizado em Canela/RS.
SSCP;PR0015;FRANCISCO LACERDA JÚNIOR;CORNÉLIO PROCÓPIO;PR;23° 9' 9'' S;50° 36' 9'' W;567 m;VFR Diurno;-;-; 06/24;1400 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1192;-;-;-;PA2020-1192;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSCB;SP0044;MUNICIPAL DE CASA BRANCA;CASA BRANCA;SP;21° 47' 17'' S;47° 3' 20'' W;712 m;VFR Diurno;-;-; 09/27;1154 m;20 m;PCR -/-/-/-/-;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2128;-;-;-;PA2017-2128;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato);PA2017-2128;PA2017-2128;;-
SSCT;PR0025;ENGENHEIRO GASTÃO DE MESQUITA FILHO;CIANORTE;PR;23° 41' 30'' S;52° 38' 32'' W;540 m;VFR Diurno/Noturno;-;-; 04/22;1220 m;23 m;5700 kg / 0,62 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0114;-;-;-;PA2016-0114;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSEE;RS0054;REGIONAL DO VALE DO TAQUARI;ESTRELA;RS;29° 27' 12'' S;51° 56' 3'' W;32 m;VFR Diurno;-;-; 06/24;570 m;18 m;4000 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3024;-;-;-;PA2017-3024;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSEP;RS0031;SÃO SEPÉ;SÃO SEPÉ;RS;30° 10' 56'' S;53° 34' 46'' W;153 m;VFR Diurno;-;-; 14/32;1140 m;18 m;5700 kg / 0,62 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3955;-;-;-;PA2021-3955;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSER;RS0018;ERECHIM;ERECHIM;RS;27° 39' 48'' S;52° 16' 19'' W;761 m;VFR Diurno/Noturno;-;-; 14/32;1280 m;30 m;PCN 11/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8035;-;-;-;PA2022-8035;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
